code,R,F,M,Àà±ð
1102,102,1,32,7
1103,170,1,266,0
1104,170,1,79,7
1105,84,1,56,1
1106,92,1,225,0
1107,142,1,159,3
1108,137,1,129,3
1109,21,1,195,4
1110,121,1,149,3
1111,33,1,34,1
1112,73,1,89,1
1113,30,1,218,4
1114,12,1,72,1
1115,160,1,207,0
1116,72,1,117,1
1117,168,1,53,7
1118,155,1,151,3
1119,14,2,208,2
1120,170,1,180,0
1121,90,1,94,3
1122,19,1,111,1
1123,170,1,121,3
1124,73,1,158,4
1125,73,1,118,1
1126,132,1,257,0
1127,39,1,144,4
1128,101,1,203,0
1129,154,1,260,0
1130,59,1,144,4
1131,133,1,184,3
1132,132,1,63,7
1133,73,1,174,4
1134,115,1,224,0
1135,19,3,71,6
1136,1,1,193,4
1137,46,1,162,4
1138,73,1,89,1
1139,117,1,32,7
1140,73,1,33,1
1141,170,1,208,0
1142,27,1,42,1
1143,71,2,81.5,2
1144,145,1,126,3
1145,152,1,64,7
1146,89,1,167,3
1147,62,1,94,1
1148,101,1,165,3
1149,158,1,146,3
1150,67,1,79,1
1151,170,1,64,7
1152,73,1,227,4
1153,170,1,79,7
1154,1,1,80,1
1155,10,1,148,4
1156,170,1,142,3
1157,33,1,94,1
1158,167,1,35,7
1159,62,1,121,1
1160,167,1,69,7
1161,81,1,206,4
1162,170,1,30,7
1163,170,1,231,0
1164,91,1,202,4
1165,42,1,49,1
1166,14,1,190,4
1167,165,1,174,3
1168,157,2,106,2
1169,98,1,37,7
1170,161,1,191,0
1171,118,1,75,7
1172,71,1,87,1
1173,102,1,94,3
1174,100,1,176,3
1175,35,1,171,4
1176,170,1,208,0
1177,133,1,87,7
1178,71,2,184.5,2
1179,22,3,32.66666667,6
1180,14,1,72,1
1181,68,1,149,4
1182,170,1,79,7
1183,0,1,84,1
1184,133,1,87,7
1185,11,1,153,4
1186,170,1,118,7
1187,102,1,224,0
1188,73,1,111,1
1189,29,1,204,4
1190,151,1,42,7
1191,68,1,94,1
1192,14,3,207.3333333,6
1193,133,1,203,0
1194,83,1,47,1
1195,170,1,175,3
1196,7,1,184,4
1197,19,1,30,1
1198,42,2,122.5,2
1199,167,1,142,3
1200,167,1,225,0
1201,131,1,38,7
1202,71,1,89,1
1203,18,1,156,4
1204,162,1,216,0
1205,22,2,109.5,2
1206,132,1,87,7
1207,12,1,58,1
1208,152,2,96.5,2
1209,96,1,144,3
1210,41,1,220,4
1211,122,1,132,3
1212,133,1,191,0
1213,133,1,89,7
1214,9,1,44,1
1215,170,1,31,7
1216,35,1,34,1
1217,73,1,114,1
1218,14,1,136,1
1219,37,1,96,1
1220,159,1,89,7
1221,108,1,226,0
1222,3,1,176,4
1223,179,1,228,0
1224,51,1,139,4
1225,169,1,72,7
1226,91,1,205,0
1227,101,1,34,7
1228,12,3,173.6666667,6
1229,79,1,269,0
1230,3,1,89,1
1231,166,1,63,7
1232,75,2,69,2
1233,11,3,217.3333333,6
1234,157,2,149,2
1235,25,1,70,1
1236,170,1,84,7
1237,128,1,158,3
1238,164,1,79,7
1239,162,1,189,0
1240,72,1,33,1
1241,91,1,106,3
1242,170,1,84,7
1243,24,1,118,1
1244,170,1,87,7
1245,0,4,39.75,6
1246,164,1,193,0
1247,116,1,174,3
1248,133,1,96,7
1249,170,1,39,7
1250,133,1,87,7
1251,101,1,173,3
1252,7,1,148,4
1253,133,1,89,7
1254,152,1,31,7
1255,45,1,267,4
1256,170,1,69,7
1257,170,1,110,7
1258,73,1,87,1
1259,36,2,95.5,2
1260,109,1,169,3
1261,170,1,232,0
1262,165,1,173,3
1263,133,1,87,7
1264,92,1,181,3
1265,158,1,49,7
1266,162,1,80,7
1267,92,1,111,3
1268,106,1,186,3
1269,13,1,40,1
1270,170,1,87,7
1271,105,1,213,0
1272,170,1,248,0
1273,73,1,87,1
1274,126,1,144,3
1275,14,1,89,1
1276,86,1,159,3
1277,132,2,181,2
1278,170,1,79,7
1279,9,1,87,1
1280,170,1,84,7
1281,102,1,76,7
1282,45,1,265,4
1283,128,1,149,3
1284,155,1,37,7
1285,8,1,87,1
1286,102,1,94,3
1287,169,1,30,7
1288,17,1,34,1
1289,3,1,49,1
1290,31,1,46,1
1291,23,1,34,1
1292,36,1,51,1
1293,145,1,59,7
1294,126,1,40,7
1295,151,1,63,7
1296,170,1,31,7
1297,121,1,94,3
1298,102,1,232,0
1299,91,1,257,0
1300,13,1,133,1
1301,92,1,60,1
1302,152,1,66,7
1303,133,1,231,0
1304,14,1,144,4
1305,133,1,99,3
1306,62,1,30,1
1307,45,2,37.5,2
